                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00915,                0.59346,                0.10467,                0.10465,                0.19912,                0.08812,                0.05168,                0.00766,                0.50181,                0.09515,                0.16034,             9.9405e-05,             9.9405e-05
                      2,                0.00809,                0.45015,                0.09692,                0.34675,                 0.3438,                0.28648,                0.19734,                0.00688,                0.35664,                0.08917,                0.12043,             0.00019282,             0.00019282
                      3,                0.00754,                0.36533,                0.09209,                0.45577,                 0.4869,                0.46953,                0.32745,                0.00665,                0.27951,                0.08497,               0.080518,             0.00027964,             0.00027964
                      4,                0.00736,                0.31584,                0.08917,                0.59482,                0.60381,                0.62714,                0.44831,                0.00638,                0.22608,                0.08122,               0.040598,             0.00035986,             0.00035986
                      5,                0.00711,                0.27345,                0.08659,                0.70647,                0.68511,                0.73595,                0.52961,                0.00621,                0.18351,                0.07914,             0.00067158,             0.00043348,             0.00043348
                      6,                0.00686,                0.23953,                0.08414,                0.73649,                0.74941,                0.79173,                0.58021,                0.00595,                 0.1579,                0.07713,              0.0004175,              0.0004175,              0.0004175
                      7,                0.00667,                0.21531,                0.08273,                0.80135,                0.77352,                 0.8353,                0.62078,                 0.0058,                0.13876,                0.07531,              0.0004175,              0.0004175,              0.0004175
                      8,                0.00659,                0.20268,                0.08178,                0.79701,                0.79554,                0.84869,                0.63541,                0.00573,                0.13378,                0.07482,               0.000401,               0.000401,               0.000401
                      9,                0.00653,                 0.1928,                0.08139,                0.84351,                0.78977,                0.87504,                0.66088,                0.00563,                0.12061,                0.07334,              0.0003845,              0.0003845,              0.0003845
                     10,                0.00641,                0.18293,                0.08062,                0.85672,                0.81609,                0.89013,                0.67283,                0.00553,                0.11637,                0.07296,               0.000368,               0.000368,               0.000368
                     11,                0.00639,                0.17277,                0.07996,                0.87554,                 0.8259,                0.90603,                0.68901,                0.00553,                0.10979,                0.07246,              0.0003515,              0.0003515,              0.0003515
                     12,                0.00633,                0.16639,                 0.0796,                0.89169,                0.83708,                0.92237,                0.70813,                0.00548,                  0.102,                0.07179,               0.000335,               0.000335,               0.000335
                     13,                0.00625,                0.16132,                0.07914,                0.86489,                0.88106,                0.92387,                0.71332,                0.00543,                0.10063,                 0.0716,              0.0003185,              0.0003185,              0.0003185
                     14,                0.00621,                0.15664,                0.07867,                0.88726,                0.86817,                0.93133,                0.71858,                0.00538,                0.09686,                0.07091,               0.000302,               0.000302,               0.000302
                     15,                0.00622,                0.15753,                0.07922,                0.87824,                0.87833,                0.93476,                0.72532,                0.00536,                 0.0942,                0.07081,              0.0002855,              0.0002855,              0.0002855
                     16,                0.00613,                 0.1516,                0.07853,                0.89559,                0.86767,                0.93744,                0.72695,                0.00536,                0.09276,                0.07076,               0.000269,               0.000269,               0.000269
                     17,                0.00617,                0.15018,                0.07832,                0.90917,                0.87205,                0.93818,                0.72635,                0.00537,                0.08938,                0.07088,              0.0002525,              0.0002525,              0.0002525
                     18,                0.00613,                0.14715,                0.07823,                0.89092,                0.88727,                0.93933,                0.72975,                0.00531,                0.08917,                0.07027,               0.000236,               0.000236,               0.000236
                     19,                0.00608,                0.14297,                 0.0781,                0.89404,                0.89968,                0.94239,                0.73862,                0.00526,                0.08614,                0.07032,              0.0002195,              0.0002195,              0.0002195
                     20,                0.00606,                0.14026,                0.07785,                0.89341,                0.90188,                0.94607,                0.73824,                 0.0053,                0.08418,                0.07022,               0.000203,               0.000203,               0.000203
                     21,                0.00599,                0.13831,                0.07731,                0.90782,                0.89414,                0.94951,                0.74167,                0.00525,                0.08342,                0.06981,              0.0001865,              0.0001865,              0.0001865
                     22,                0.00603,                0.13767,                0.07773,                0.90336,                0.89485,                0.94938,                 0.7438,                0.00527,                0.08364,                0.07001,                0.00017,                0.00017,                0.00017
                     23,                0.00607,                0.13418,                 0.0777,                0.90082,                0.89306,                0.94626,                0.74468,                0.00524,                0.08343,                0.06998,              0.0001535,              0.0001535,              0.0001535
                     24,                0.00491,                0.09369,                0.07234,                0.89177,                0.90144,                0.94974,                0.74036,                0.00529,                0.08301,                0.07015,               0.000137,               0.000137,               0.000137
                     25,                0.00479,                0.08684,                0.07146,                0.89532,                 0.9052,                0.95338,                0.74824,                0.00525,                0.08162,                0.06966,              0.0001205,              0.0001205,              0.0001205
                     26,                0.00477,                0.08386,                 0.0715,                0.90862,                0.91139,                 0.9516,                0.74949,                0.00525,                0.08063,                0.06961,               0.000104,               0.000104,               0.000104
                     27,                0.00476,                0.08351,                0.07103,                0.92171,                 0.9024,                 0.9556,                0.75011,                0.00524,                 0.0791,                0.06941,               8.75e-05,               8.75e-05,               8.75e-05
                     28,                0.00471,                0.08036,                0.07071,                0.90147,                0.92533,                0.95941,                0.75702,                0.00521,                0.07689,                0.06923,                7.1e-05,                7.1e-05,                7.1e-05
                     29,                0.00477,                0.08065,                 0.0711,                0.92452,                0.90267,                0.95865,                0.75517,                0.00518,                 0.0768,                0.06892,               5.45e-05,               5.45e-05,               5.45e-05
                     30,                0.00471,                0.07925,                0.07044,                0.90787,                0.92563,                0.95936,                0.75659,                0.00517,                 0.0766,                0.06888,                3.8e-05,                3.8e-05,                3.8e-05
